Word,Translation/Explanation,Example Sentence
driving,駕駛 (n.),His driving is good.
drop,滴 (pic),I see a drop of rain.
dry,乾燥的 (adj.),The grass is dry.
dust,灰塵 (n.),The room is full of dust.
ear,耳朵 (pic),I have two ears.
early,早的 (adj.),It is an early morning.
earth,地球;土地 (n.),The earth is round.
east,東方 (op),The sun is in the east.
edge,邊緣 (n.),He is at the edge of the sea.
education,教育 (n.),Education is important.
effect,效果 (n.),The effect is good.
egg,蛋 (pic),Get an egg for me.
elastic,有彈性的 (adj.),The band is elastic.
electric,電的 (adj.),The light is electric.
end,結束 (n.),This is the end of the road.
engine,引擎 (pic),The engine is loud.
enough,足夠的 (op),I have enough food.
equal,相等的 (adj.),The two are equal.
error,錯誤 (n.),There is an error in it.
even,甚至;平坦的 (op),He is even better now.
event,事件 (n.),It was a great event.
ever,曾經 (op),Have you ever seen it?
every,每個 (op),Every man is here.
example,例子 (n.),Give me an example.
exchange,交換 (n.),Make an exchange of books.
existence,存在 (n.),We have a good existence.
expansion,擴張 (n.),The expansion is slow.
experience,經驗 (n.),He has much experience.
expert,專家 (n.),He is an expert.
eye,眼睛 (pic),I see with my eye.
face,臉 (pic),His face is happy.
fact,事實 (n.),It is a fact.
fall,跌倒;秋天 (n.),He had a fall.
false,錯誤的;假的 (adj.),The statement is false.
family,家庭 (n.),He has a large family.
far,遠的 (op),The house is far.
farm,農場 (pic),He lives on a farm.
fat,肥胖的;脂肪 (adj.),The animal is fat.
father,父親 (n.),He is my father.
fear,害怕 (n.),He has no fear.
feather,羽毛 (pic),The feather is white.
feeble,虛弱的 (adj.),The man is feeble.
feeling,感覺 (n.),I have a good feeling.
female,女性的 (adj.),The bird is female.
fertile,肥沃的 (adj.),The land is fertile.
fiction,小說 (n.),This story is fiction.
field,田野 (pic),The cows are in the field.
fight,戰鬥 (n.),The fight was long.
finger,手指 (pic),He has a ring on his finger.
fire,火 (n.),The fire is warm.
first,第一 (adj.),He is the first man.
fish,魚 (pic),The fish is in the water.
fixed,固定的 (adj.),The clock is fixed.
flag,旗幟 (pic),The flag is blue.
flame,火焰 (n.),The flame is bright.
flat,平坦的 (adj.),The floor is flat.
flight,飛行 (n.),The flight was long.
floor,地板 (pic),The book is on the floor.
flower,花 (pic),The flower is beautiful.
fly,蒼蠅 (pic),The fly is on the wall.
fold,摺疊 (n.),Make a fold in the paper.
food,食物 (n.),Give me some food.
foolish,愚蠢的 (adj.),The act was foolish.
foot,腳 (pic),Put your foot on the floor.
for,為了 (op),This is for you.
force,力量 (n.),He has great force.
fork,叉子 (pic),Give me a fork.
form,形狀 (n.),What is the form of it?
forward,向前 (op),Go forward now.
fowl,家禽 (pic),The fowl is in the garden.
frame,框架 (pic),The frame is of wood.
free,自由的 (adj.),You are free to go.
frequent,頻繁的 (adj.),He makes frequent visits.
friend,朋友 (n.),He is my friend.
from,來自 (op),I am from the town.
front,正面 (n.),He is at the front.
fruit,水果 (n.),The fruit is sweet.
full,滿的 (adj.),The cup is full.
future,未來 (n.),The future will be good.
garden,花園 (pic),The garden is beautiful.
general,一般的;將軍 (adj.),This is a general rule.
get,得到 (operator),I will get the book.
girl,女孩 (pic),The girl is happy.
give,給予 (operator),Give the ball to me.
glass,玻璃 (n.),The glass is broken.
glove,手套 (pic),Put on your glove.
go,去 (operator),Go to the house.
goat,山羊 (pic),The goat is in the field.
gold,黃金 (n.),The ring is of gold.
good,好的 (adj.),He is a good man.
government,政府 (n.),The government has the authority.
grain,穀物 (n.),The grain is in the bag.
grass,草 (n.),The grass is green.
great,偉大的 (adj.),He is a great man.
green,綠色的 (adj.),The grass is green.
grey,灰色的 (adj.),The sky is grey.
grip,緊握 (n.),He has a strong grip.
group,群體 (n.),The group is large.
growth,成長 (n.),The growth is fast.
guide,指南;導遊 (n.),He is our guide.
gun,槍 (pic),The man has a gun.
hair,頭髮 (pic),Her hair is long.
hammer,鐵鎚 (pic),Use the hammer on the nail.
hand,手 (pic),Give me your hand.
hanging,懸掛的 (adj.),The picture is hanging.
happy,快樂的 (adj.),I am very happy.
harbor,港口 (n.),The ship is in the harbor.
hard,堅硬的 (adj.),The stone is hard.
harmony,和諧 (n.),We live in harmony.
hat,帽子 (pic),Put on your hat.
hate,恨 (n.),He has hate for the work.
have,有 (operator),I have a book.
he,他 (op),He is a good man.
head,頭 (pic),Put it on your head.
healthy,健康的 (adj.),He is a healthy boy.
hearing,聽覺 (n.),His hearing is good.
heart,心臟 (n.),His heart is strong.
heat,熱 (n.),I feel the heat.
help,幫助 (n.),Give me some help.
here,這裡 (op),He is here now.
high,高的 (adj.),The mountain is high.
history,歷史 (n.),This is a book of history.
hole,洞 (n.),There is a hole in the wall.
hollow,中空的 (adj.),The ball is hollow.
hook,鉤子 (pic),Put it on the hook.
hope,希望 (n.),I have hope for the future.
horn,角;喇叭 (pic),The animal has a horn.
horse,馬 (pic),The horse is in the field.
hospital,醫院 (pic),He is in the hospital.
hour,小時 (n.),It will take an hour.
house,房子 (pic),This is my house.
how,如何 (op),How do you do?
humor,幽默 (n.),He has much humor.
I,我 (op),I am here.
ice,冰 (n.),The ice is cold.
idea,主意 (n.),That is a good idea.
if,如果 (op),"If it is good, take it."
ill,生病的 (adj.),He is ill in bed.
important,重要的 (adj.),This is an important book.
impulse,衝動 (n.),It was a sudden impulse.
in,在...裡面 (op),It is in the box.
increase,增加 (n.),There was an increase of work.
industry,工業;勤奮 (n.),This town has much industry.
ink,墨水 (n.),The ink is black.
insect,昆蟲 (pic),The insect is on the leaf.
instrument,儀器 (n.),It is a musical instrument.
insurance,保險 (n.),He has life insurance.
interest,興趣 (n.),He has interest in art.
invention,發明 (n.),It is a new invention.
iron,鐵 (n.),The box is of iron.
island,島 (pic),He lives on an island.
jelly,果凍 (n.),The jelly is sweet.
jewel,珠寶 (pic),The jewel is beautiful.
join,加入 (n.),Make a join of the two.
journey,旅程 (n.),The journey was long.
judge,法官 (n.),He is a good judge.
jump,跳躍 (n.),He made a long jump.
keep,保持 (operator),Keep the room clean.
kettle,水壺 (pic),The kettle is on the fire.
key,鑰匙 (pic),Give me the key.
kick,踢 (n.),He gave a kick to the ball.
kind,種類;親切的 (adj.),He is a kind man.
kiss,吻 (n.),She gave a kiss to the baby.
knee,膝蓋 (pic),He has a pain in his knee.
knife,刀 (pic),The knife is sharp.
knot,繩結 (pic),Make a knot in the cord.
knowledge,知識 (n.),He has much knowledge.
land,土地 (n.),The land is fertile.
language,語言 (n.),English is a language.
last,最後的 (adj.),This is the last day.
late,遲的 (adj.),He is late for the meeting.
laugh,笑 (n.),He gave a loud laugh.
law,法律 (n.),It is the law.
lead,鉛 (n.),The pipe is of lead.
leaf,樹葉 (pic),The leaf is green.
learning,學習 (n.),He is a man of learning.
leather,皮革 (n.),The shoe is of leather.
left,左邊 (adj.),Go to the left side.
leg,腿 (pic),His leg is long.
let,讓 (operator),Let me see it.
letter,信;字母 (pic),I have a letter for you.
level,程度;平坦的 (adj.),The floor is level.
library,圖書館 (pic),The library is full of books.
lift,電梯;舉起 (n.),Take the lift to the top.
light,光;輕的 (pic),The light is bright.
like,像 (op),It is like a ball.
limit,限制 (n.),That is the limit.
line,線 (pic),Make a line on the paper.
linen,亞麻布 (n.),The cloth is of linen.
lip,嘴唇 (pic),Her lip is red.
liquid,液體 (n.),The water is a liquid.
list,清單 (n.),Make a list of the words.
little,小的 (op),I have a little money.
living,生活的 (adj.),He is a living man.
lock,鎖 (pic),The lock is broken.
long,長的 (adj.),The road is long.
look,看 (n.),Take a look at this.
loose,鬆的 (adj.),The button is loose.
loss,損失 (n.),The loss was great.
loud,大聲的 (adj.),The noise is loud.
love,愛 (n.),He has love for his mother.
low,低的 (adj.),The wall is low.
machine,機器 (pic),The machine is automatic.
make,製作 (operator),Make a box of wood.
male,男性的 (adj.),The animal is male.
man,男人 (n.),He is a good man.
manager,經理 (n.),He is the manager here.
map,地圖 (pic),See the map on the wall.
mark,記號 (n.),Make a mark on the board.
market,市場 (n.),Go to the market.
married,已婚的 (adj.),He is a married man.
match,火柴;比賽 (pic),Give me a match.
material,材料 (adj.),What is the material?
mass,團;塊 (n.),There was a mass of cloud.
may,可能 (operator),It may be a good day.
meal,餐 (n.),Take a meal with me.
measure,測量 (n.),Take a measure of the room.
meat,肉 (n.),The meat is good.
medical,醫學的 (adj.),He has medical knowledge.
meeting,會議 (n.),The meeting is at the house.
memory,記憶 (n.),He has a good memory.
metal,金屬 (n.),The box is of metal.
middle,中間 (n.),He is in the middle.
military,軍事部隊 (adj.),It is a military building.
milk,牛奶 (n.),Give me some milk.
mind,頭腦 (n.),Keep it in your mind.
mine,我的 (op),The book is mine.
minute,分鐘 (n.),Give me a minute.
mist,薄霧 (n.),The mountain is in the mist.
mixed,混合的 (adj.),The colors are mixed.
money,錢 (n.),I have some money.
monkey,猴子 (pic),The monkey is in the tree.
month,月份 (n.),It is a long month.
moon,月亮 (pic),The moon is bright tonight.
morning,早上 (n.),Come in the morning.
mother,母親 (n.),She is my mother.
motion,運動;動作 (n.),The motion is slow.
mountain,山 (pic),The mountain is high.
mouth,嘴巴 (pic),Open your mouth.
move,移動 (n.),Make a move now.
much,很多 (op),He has much work.
muscle,肌肉 (pic),His muscle is strong.
music,音樂 (n.),I like the music.
nail,釘子 (pic),Put the nail in the wood.
name,名字 (n.),My name is on the book.
narrow,狹窄的 (adj.),The street is narrow.
nation,國家 (n.),This is a great nation.
natural,自然的 (adj.),It is a natural thing.
near,靠近 (op),The house is near the sea.
necessary,必要的 (adj.),It is necessary to go.
neck,脖子 (pic),Put the band on your neck.
need,需要 (n.),He has a need for help.
needle,針 (pic),Give me a needle.
nerve,神經 (pic),His nerve is strong.
net,網 (pic),The fish is in the net.
new,新的 (adj.),This is a new book.
news,新聞 (n.),The news is good.
night,夜晚 (n.),Go to bed at night.
no,不 (op),"No, I will not go."
noise,噪音 (n.),I hear a loud noise.
normal,正常的 (adj.),The condition is normal.
north,北方 (op),The town is to the north.
nose,鼻子 (pic),He has a long nose.
not,不 (op),It is not cold.
note,筆記 (n.),Make a note of it.
now,現在 (op),Go to the house now.
number,數字 (n.),What is the number?
nut,堅果 (pic),The nut is on the table.
observation,觀察 (n.),Make an observation of the bird.
of,的 (op),It is a cup of water.
off,離開 (op),Take the hat off.
offer,提供 (n.),He made a good offer.
office,辦公室 (pic),He is in the office.
oil,油 (n.),Put oil in the machine.
old,老的 (adj.),He is an old man.
on,在...上面 (op),The book is on the table.
only,只有 (op),I have only one book.
open,打開的 (adj.),The door is open.
operation,操作;手術 (n.),The operation was successful.
opinion,意見 (n.),Give me your opinion.
opposite,相反的 (opp.),He is on the opposite side.
or,或者 (op),Do you want this or that?
orange,橘子;橘色的 (pic),Give me an orange.
order,命令;順序 (n.),Give an order to the men.
organization,組織 (n.),The organization is large.
ornament,裝飾品 (n.),The ornament is beautiful.
other,其他的 (op),Give me the other book.
out,出去 (op),Go out of the house.
oven,烤箱 (pic),The cake is in the oven.
over,在...上方 (op),The bird is over the house.
owner,所有人 (n.),He is the owner of it.
page,頁 (pic),See the picture on the page.
pain,疼痛 (n.),I have a pain in my hand.
paint,油漆 (n.),The paint is wet.
paper,紙 (n.),Give me some paper.
parallel,平行的 (adj.),The two lines are parallel.
parcel,包裹 (pic),Give the parcel to him.
part,部分 (n.),This is a part of the book.
past,過去 (adj.),It is in the past.
paste,糊;漿糊 (n.),Put paste on the paper.
payment,支付 (n.),Give the payment to the man.
peace,和平 (n.),We want peace.
pen,筆 (pic),Give me a pen.
pencil,鉛筆 (pic),Use the pencil to write.
person,人 (n.),He is a good person.
physical,物質的;身體的 (adj.),It is a physical change.
picture,圖片 (pic),I see the picture.
pig,豬 (pic),The pig is in the field.
pin,大頭針 (pic),Give me a pin.
pipe,管子 (pic),The pipe is full of water.
place,地方 (n.),This is a good place.
plane,飛機;平面 (pic),The plane is in the sky.
plant,植物 (pic),The plant is in the garden.
plate,盤子 (pic),The plate is on the table.
play,玩耍;劇本 (n.),The boy is at play.
please,請 (op),Please give me the book.
pleasure,愉快 (n.),It is a pleasure to see you.
plough,犁 (pic),The plough is in the field.
pocket,口袋 (pic),Put it in your pocket.
point,點 (n.),This is the point of the story.
poison,毒 (n.),The poison is in the bottle.
polish,磨光粉 (n.),Put polish on the shoes.
political,政治的 (adj.),It is a political event.
poor,貧窮的 (adj.),He is a poor man.
porter,搬運工 (n.),Give the bag to the porter.
position,位置 (n.),The house is in a good position.
possible,可能的 (adj.),It is possible to go.
pot,壺 (pic),The pot is on the fire.
potato,馬鈴薯 (pic),Give me a potato.
powder,粉末 (n.),The powder is white.
power,力量 (n.),He has the power to do it.
present,禮物;現在的 (adj.),This is a present for you.
price,價格 (n.),The price is high.
print,印刷 (n.),The print is clear.
prison,監獄 (pic),He is in prison.
private,私人的 (adj.),This is a private house.
probable,可能的 (adj.),It is probable that he will go.
process,過程 (n.),The process is slow.
produce,產生;農產品 (n.),The land has good produce.
profit,利潤 (n.),The profit was great.
property,財產 (n.),This is my property.
prose,散文 (n.),He writes in prose.
protest,抗議 (n.),He made a protest.
public,大眾的 (adj.),It is a public building.
pull,拉 (n.),Give a pull on the cord.
pump,幫浦 (pic),The pump is at the house.
punishment,懲罰 (n.),The punishment was hard.
purpose,目的 (n.),What is your purpose?
push,推 (n.),Give a push to the door.
put,放置 (operator),Put the book on the table.
quality,品質 (n.),The quality of the cloth is good.
question,問題 (n.),Answer the question.
quick,快的 (adj.),He is a quick boy.
quiet,安靜的 (adj.),The room is quiet.
quite,非常;相當 (op),It is quite good.
rail,鐵軌 (pic),The train is on the rail.
rain,雨 (n.),The rain is falling.
range,範圍 (n.),The range of mountains is high.
rat,老鼠 (pic),The rat is in the hole.
rate,比率 (n.),The rate of growth is fast.
ray,光線 (n.),A ray of light is here.
reaction,反應 (n.),The reaction was sudden.
reading,閱讀 (n.),His reading is very good.
ready,準備好的 (adj.),The food is ready.
reason,原因 (n.),What is the reason for it?
receipt,收據 (pic),Give me the receipt.
record,記錄 (n.),Keep a record of the work.
red,紅色的 (adj.),The flower is red.
regret,遺憾 (n.),I have no regret.
regular,規則的 (adj.),He has a regular work.
relation,關係 (n.),What is the relation between them?
religion,宗教 (n.),He is a man of religion.
representative,代表 (n.),He is our representative.
request,要求 (n.),I have a request.
respect,尊重 (n.),I have respect for him.
responsible,負責任的 (adj.),He is responsible for it.
rest,休息 (n.),Take a rest now.
reward,獎勵 (n.),He gave a reward to me.
rhythm,節奏 (n.),The music has a good rhythm.
rice,米飯 (n.),Give me some rice.
right,正確的;右邊的 (adj.),That is the right answer.
ring,戒指;圓圈 (pic),The ring is of gold.
river,河流 (pic),The river is long.
road,道路 (pic),The road is wide.
rod,棒子 (pic),The rod is of iron.
roll,捲 (n.),Give me a roll of paper.
roof,屋頂 (pic),The roof is red.
room,房間 (pic),The room is clean.
root,根 (pic),The root is in the earth.
rough,粗糙的 (adj.),The board is rough.
round,圓的 (adj.),The ball is round.
rub,磨擦 (n.),Give a rub to the glass.
rule,規則 (n.),This is the rule.
run,跑 (n.),He had a long run.
sad,悲傷的 (opp.),He is very sad.
safe,安全的 (adj.),The house is safe.
sail,帆 (pic),The sail is white.
salt,鹽 (n.),Put salt on the food.
same,相同的 (adj.),They are the same.
sand,沙子 (n.),The sand is yellow.
say,說 (operator),Say the words now.
scale,秤;刻度 (n.),Put it on the scale.
school,學校 (pic),The boy is at school.
science,科學 (n.),He likes science.
scissors,剪刀 (pic),Give me the scissors.
screw,螺絲 (pic),Use the screw in the wood.
sea,大海 (pic),The sea is blue.
seat,座位 (pic),Take a seat now.
second,第二;秒 (adj.),He is the second man.
secret,秘密 (adj.),It is a secret.
secretary,秘書 (n.),He is the secretary.
see,看見 (operator),I see the bird.
seed,種子 (pic),The seed is in the earth.
selection,選擇 (n.),Make a selection of books.
self,自己 (n.),He is his old self again.
send,發送 (operator),Send the letter now.
seem,似乎 (operator),He seems happy.
sense,感覺 (n.),He has a sense of humor.
separate,分開的 (adj.),They are in separate rooms.
serious,嚴肅的 (adj.),He is a serious man.
servant,僕人 (n.),The servant is in the house.
sex,性別 (n.),What is the sex of the animal?
shade,陰影 (n.),Sit in the shade.
shake,搖動 (n.),He gave a shake to the tree.
shame,羞恥 (n.),It is a shame.
sharp,銳利的 (adj.),The knife is sharp.
sheep,綿羊 (pic),The sheep is in the field.
shelf,架子 (pic),The book is on the shelf.
ship,船 (pic),The ship is on the sea.
shirt,襯衫 (pic),Put on your shirt.
shock,震驚 (n.),The news was a shock.
shoe,鞋子 (pic),Put on your shoe.
short,短的 (adj.),The stick is short.
shut,關閉的 (adj.),The door is shut.
side,側面 (n.),He is on my side.
sign,符號;牌子 (n.),I see the sign.
silk,絲綢 (n.),The cloth is of silk.
silver,銀 (n.),The cup is of silver.
simple,簡單的 (adj.),The work is simple.
sister,姊妹 (n.),She is my sister.
size,大小 (n.),What is the size of it?
skin,皮膚 (pic),The skin is soft.
skirt,裙子 (pic),She has a new skirt.
sky,天空 (pic),The sky is blue.
sleep,睡眠 (n.),Go to sleep now.
slip,滑倒 (n.),He had a slip.
slope,斜坡 (n.),The house is on a slope.
slow,慢的 (adj.),The motion is slow.
small,小的 (adj.),The dog is small.
smash,粉碎 (n.),There was a great smash.
smell,嗅覺;味道 (n.),The smell is sweet.
smile,微笑 (n.),She has a beautiful smile.
smoke,煙 (n.),I see smoke.
smooth,平滑的 (adj.),The board is smooth.
snake,蛇 (pic),The snake is on the grass.
sneeze,噴嚏 (n.),He gave a sneeze.
snow,雪 (n.),The snow is white.
so,如此 (op),He is so good.
soap,肥皂 (n.),Use soap on your hands.
society,社會 (n.),He is a man of society.
sock,襪子 (pic),Put on your sock.
soft,柔軟的 (adj.),The bed is soft.
solid,固體的 (adj.),The ice is solid.
some,一些 (op),Give me some milk.
son,兒子 (n.),He is my son.
song,歌 (n.),He gave a song.
sort,種類 (n.),What sort of thing is it?
sound,聲音 (n.),I hear a sound.
south,南方 (op),The sun is in the south.
soup,湯 (n.),The soup is hot.
space,空間 (n.),There is no space.
spade,鏟子 (pic),Give me the spade.
special,特別的 (adj.),It is a special day.
sponge,海綿 (pic),Use the sponge.
spoon,湯匙 (pic),Give me a spoon.
spring,春天;彈簧 (pic),It is a beautiful spring.
square,正方形 (pic),The table is square.
stamp,郵票;印章 (pic),Put a stamp on the letter.
stage,舞台 (n.),He is on the stage.
star,星星 (pic),I see a star.
start,開始 (n.),Make a start now.
statement,陳述 (n.),It is a true statement.
station,車站 (pic),Go to the station.
steam,蒸汽 (n.),I see the steam.
stem,莖 (pic),The flower has a long stem.
steel,鋼鐵 (n.),The box is of steel.
step,步 (n.),Take a step forward.
stick,棍子 (pic),The stick is long.
sticky,黏的 (adj.),The sugar is sticky.
still,仍然 (op),He is still here.
stitch,縫針 (n.),Make a stitch.
stocking,長襪 (pic),Put on your stocking.
stomach,胃 (pic),His stomach is full.
stone,石頭 (pic),The stone is hard.
stop,停止 (n.),Make a stop here.
store,商店 (pic),Go to the store.
story,故事 (n.),Give me a story.
